country	continent	year	lifeExp	pop	gdpPercap
Algeria	Africa	1952	43.077	9279525	2449.008185
Algeria	Africa	1957	45.685	10270856	3013.976023
Algeria	Africa	1962	48.303	11000948	2550.81688
Algeria	Africa	1967	51.407	12760499	3246.991771
Algeria	Africa	1972	54.518	14760787	4182.663766
Algeria	Africa	1977	58.014	17152804	4910.416756
Algeria	Africa	1982	61.368	20033753	5745.160213
Algeria	Africa	1987	65.799	23254956	5681.358539
Algeria	Africa	1992	67.744	26298373	5023.216647
Algeria	Africa	1997	69.152	29072015	4797.295051
Algeria	Africa	2002	70.994	31287142	5288.040382
Algeria	Africa	2007	72.301	33333216	6223.367465
Angola	Africa	1952	30.015	4232095	3520.610273
Angola	Africa	1957	31.999	4561361	3827.940465
Angola	Africa	1962	34	4826015	4269.276742
Angola	Africa	1967	35.985	5247469	5522.776375
Angola	Africa	1972	37.928	5894858	5473.288005
Angola	Africa	1977	39.483	6162675	3008.647355
Angola	Africa	1982	39.942	7016384	2756.953672
Angola	Africa	1987	39.906	7874230	2430.208311
Angola	Africa	1992	40.647	8735988	2627.845685
Angola	Africa	1997	40.963	9875024	2277.140884
Angola	Africa	2002	41.003	10866106	2773.287312
Angola	Africa	2007	42.731	12420476	4797.231267
Benin	Africa	1952	38.223	1738315	1062.7522
Benin	Africa	1957	40.358	1925173	959.6010805
Benin	Africa	1962	42.618	2151895	949.4990641
Benin	Africa	1967	44.885	2427334	1035.831411
Benin	Africa	1972	47.014	2761407	1085.796879
Benin	Africa	1977	49.19	3168267	1029.161251
Benin	Africa	1982	50.904	3641603	1277.897616
Benin	Africa	1987	52.337	4243788	1225.85601
Benin	Africa	1992	53.919	4981671	1191.207681
Benin	Africa	1997	54.777	6066080	1232.975292
Benin	Africa	2002	54.406	7026113	1372.877931
Benin	Africa	2007	56.728	8078314	1441.284873
Botswana	Africa	1952	47.622	442308	851.2411407
Botswana	Africa	1957	49.618	474639	918.2325349
Botswana	Africa	1962	51.52	512764	983.6539764
Botswana	Africa	1967	53.298	553541	1214.709294
Botswana	Africa	1972	56.024	619351	2263.611114
Botswana	Africa	1977	59.319	781472	3214.857818
