country	continent	year	lifeExp	pop	gdpPercap
Afghanistan	Asia	1952	28.801	8425333	779.4453145
Afghanistan	Asia	1957	30.332	9240934	820.8530296
Afghanistan	Asia	1962	31.997	10267083	853.10071
Afghanistan	Asia	1967	34.02	11537966	836.1971382
Afghanistan	Asia	1972	36.088	13079460	739.9811058
Afghanistan	Asia	1977	38.438	14880372	786.11336
Afghanistan	Asia	1982	39.854	12881816	978.0114388
Afghanistan	Asia	1987	40.822	13867957	852.3959448
Afghanistan	Asia	1992	41.674	16317921	649.3413952
Afghanistan	Asia	1997	41.763	22227415	635.341351
Afghanistan	Asia	2002	42.129	25268405	726.7340548
Afghanistan	Asia	2007	43.828	31889923	974.5803384
Bahrain	Asia	1952	50.939	120447	9867.084765
Bahrain	Asia	1957	53.832	138655	11635.79945
Bahrain	Asia	1962	56.923	171863	12753.27514
Bahrain	Asia	1967	59.923	202182	14804.6727
Bahrain	Asia	1972	63.3	230800	18268.65839
Bahrain	Asia	1977	65.593	297410	19340.10196
Bahrain	Asia	1982	69.052	377967	19211.14731
Bahrain	Asia	1987	70.75	454612	18524.02406
Bahrain	Asia	1992	72.601	529491	19035.57917
Bahrain	Asia	1997	73.925	598561	20292.01679
Bahrain	Asia	2002	74.795	656397	23403.55927
Bahrain	Asia	2007	75.635	708573	29796.04834
Bangladesh	Asia	1952	37.484	46886859	684.2441716
Bangladesh	Asia	1957	39.348	51365468	661.6374577
Bangladesh	Asia	1962	41.216	56839289	686.3415538
Bangladesh	Asia	1967	43.453	62821884	721.1860862
Bangladesh	Asia	1972	45.252	70759295	630.2336265
Bangladesh	Asia	1977	46.923	80428306	659.8772322
Bangladesh	Asia	1982	50.009	93074406	676.9818656
Bangladesh	Asia	1987	52.819	103764241	751.9794035
Bangladesh	Asia	1992	56.018	113704579	837.8101643
Bangladesh	Asia	1997	59.412	123315288	972.7700352
Bangladesh	Asia	2002	62.013	135656790	1136.39043
Bangladesh	Asia	2007	64.062	150448339	1391.253792
Cambodia	Asia	1952	39.417	4693836	368.4692856
Cambodia	Asia	1957	41.366	5322536	434.0383364
Cambodia	Asia	1962	43.415	6083619	496.9136476
Cambodia	Asia	1967	45.415	6960067	523.4323142
Cambodia	Asia	1972	40.317	7450606	421.6240257
Cambodia	Asia	1977	31.22	6978607	524.9721832
Cambodia	Asia	1982	50.957	7272485	624.4754784
Cambodia	Asia	1987	53.914	8371791	683.8955732
Cambodia	Asia	1992	55.803	10150094	682.3031755
Cambodia	Asia	1997	56.534	11782962	734.28517
Cambodia	Asia	2002	56.752	12926707	896.2260153
Cambodia	Asia	2007	59.723	14131858	1713.778686
China	Asia	1952	44	556263527	400.448611
China	Asia	1957	50.54896	637408000	575.9870009
China	Asia	1962	44.50136	665770000	487.6740183
China	Asia	1967	58.38112	754550000	612.7056934
China	Asia	1972	63.11888	862030000	676.9000921
China	Asia	1977	63.96736	943455000	741.2374699
China	Asia	1982	65.525	1000281000	962.4213805
China	Asia	1987	67.274	1084035000	1378.904018
China	Asia	1992	68.69	1164970000	1655.784158
China	Asia	1997	70.426	1230075000	2289.234136
China	Asia	2002	72.028	1280400000	3119.280896
China	Asia	2007	72.961	1318683096	4959.114854
Hong Kong, China	Asia	1952	60.96	2125900	3054.421209
Hong Kong, China	Asia	1957	64.75	2736300	3629.076457
Hong Kong, China	Asia	1962	67.65	3305200	4692.648272
Hong Kong, China	Asia	1967	70	3722800	6197.962814
Hong Kong, China	Asia	1972	72	4115700	8315.928145
Hong Kong, China	Asia	1977	73.6	4583700	11186.14125
Hong Kong, China	Asia	1982	75.45	5264500	14560.53051
Hong Kong, China	Asia	1987	76.2	5584510	20038.47269
Hong Kong, China	Asia	1992	77.601	5829696	24757.60301
Hong Kong, China	Asia	1997	80	6495918	28377.63219
Hong Kong, China	Asia	2002	81.495	6762476	30209.01516
Hong Kong, China	Asia	2007	82.208	6980412	39724.97867
India	Asia	1952	37.373	372000000	546.5657493
India	Asia	1957	40.249	409000000	590.061996
India	Asia	1962	43.605	454000000	658.3471509
India	Asia	1967	47.193	506000000	700.7706107
India	Asia	1972	50.651	567000000	724.032527
India	Asia	1977	54.208	634000000	813.337323
India	Asia	1982	56.596	708000000	855.7235377
India	Asia	1987	58.553	788000000	976.5126756
India	Asia	1992	60.223	872000000	1164.406809
India	Asia	1997	61.765	959000000	1458.817442
India	Asia	2002	62.879	1034172547	1746.769454
India	Asia	2007	64.698	1110396331	2452.210407
Indonesia	Asia	1952	37.468	82052000	749.6816546
Indonesia	Asia	1957	39.918	90124000	858.9002707
Indonesia	Asia	1962	42.518	99028000	849.2897701
Indonesia	Asia	1967	45.964	109343000	762.4317721
Indonesia	Asia	1972	49.203	121282000	1111.107907
Indonesia	Asia	1977	52.702	136725000	1382.702056
Indonesia	Asia	1982	56.159	153343000	1516.872988
Indonesia	Asia	1987	60.137	169276000	1748.356961
Indonesia	Asia	1992	62.681	184816000	2383.140898
Indonesia	Asia	1997	66.041	199278000	3119.335603
Indonesia	Asia	2002	68.588	211060000	2873.91287
Indonesia	Asia	2007	70.65	223547000	3540.651564
Iran	Asia	1952	44.869	17272000	3035.326002
Iran	Asia	1957	47.181	19792000	3290.257643
Iran	Asia	1962	49.325	22874000	4187.329802
Iran	Asia	1967	52.469	26538000	5906.731805
Iran	Asia	1972	55.234	30614000	9613.818607
Iran	Asia	1977	57.702	35480679	11888.59508
Iran	Asia	1982	59.62	43072751	7608.334602
Iran	Asia	1987	63.04	51889696	6642.881371
Iran	Asia	1992	65.742	60397973	7235.653188
Iran	Asia	1997	68.042	63327987	8263.590301
Iran	Asia	2002	69.451	66907826	9240.761975
Iran	Asia	2007	70.964	69453570	11605.71449
Iraq	Asia	1952	45.32	5441766	4129.766056
Iraq	Asia	1957	48.437	6248643	6229.333562
Iraq	Asia	1962	51.457	7240260	8341.737815
Iraq	Asia	1967	54.459	8519282	8931.459811
Iraq	Asia	1972	56.95	10061506	9576.037596
Iraq	Asia	1977	60.413	11882916	14688.23507
Iraq	Asia	1982	62.038	14173318	14517.90711
Iraq	Asia	1987	65.044	16543189	11643.57268
Iraq	Asia	1992	59.461	17861905	3745.640687
Iraq	Asia	1997	58.811	20775703	3076.239795
Iraq	Asia	2002	57.046	24001816	4390.717312
Iraq	Asia	2007	59.545	27499638	4471.061906
Israel	Asia	1952	65.39	1620914	4086.522128
Israel	Asia	1957	67.84	1944401	5385.278451
Israel	Asia	1962	69.39	2310904	7105.630706
Israel	Asia	1967	70.75	2693585	8393.741404
Israel	Asia	1972	71.63	3095893	12786.93223
Israel	Asia	1977	73.06	3495918	13306.61921
Israel	Asia	1982	74.45	3858421	15367.0292
Israel	Asia	1987	75.6	4203148	17122.47986
Israel	Asia	1992	76.93	4936550	18051.52254
Israel	Asia	1997	78.269	5531387	20896.60924
Israel	Asia	2002	79.696	6029529	21905.59514
Israel	Asia	2007	80.745	6426679	25523.2771
Japan	Asia	1952	63.03	86459025	3216.956347
Japan	Asia	1957	65.5	91563009	4317.694365
Japan	Asia	1962	68.73	95831757	6576.649461
Japan	Asia	1967	71.43	100825279	9847.788607
Japan	Asia	1972	73.42	107188273	14778.78636
Japan	Asia	1977	75.38	113872473	16610.37701
Japan	Asia	1982	77.11	118454974	19384.10571
Japan	Asia	1987	78.67	122091325	22375.94189
Japan	Asia	1992	79.36	124329269	26824.89511
Japan	Asia	1997	80.69	125956499	28816.58499
Japan	Asia	2002	82	127065841	28604.5919
Japan	Asia	2007	82.603	127467972	31656.06806
