"countrynum","statenum","route","stateroute","year","aou","stoptotal","speciestotal"
840,63,2,63002,2000,470,1,1
840,63,2,63002,2000,580,34,256
840,63,2,63002,2000,650,4,9
840,63,2,63002,2000,690,5,8
840,63,2,63002,2000,800,1,1
840,63,2,63002,2000,1260,1,1
840,63,2,63002,2000,1840,1,1
840,63,2,63002,2000,1940,5,8
840,63,2,63002,2000,1960,7,27
840,63,2,63002,2000,1970,2,2
840,63,2,63002,2000,1990,3,10
840,63,2,63002,2000,2000,1,1
840,63,2,63002,2000,2001,7,46
840,63,2,63002,2000,2010,2,2
840,63,2,63002,2000,2120,1,1
840,63,2,63002,2000,2580,5,14
840,63,2,63002,2000,2730,5,6
840,63,2,63002,2000,2860,2,2
840,63,2,63002,2000,2890,2,2
840,63,2,63002,2000,3131,1,2
840,63,2,63002,2000,3160,32,53
840,63,2,63002,2000,3370,2,2
840,63,2,63002,2000,3390,1,1
840,63,2,63002,2000,3640,2,2
840,63,2,63002,2000,3680,1,2
840,63,2,63002,2000,3750,1,1
840,63,2,63002,2000,3870,8,8
840,63,2,63002,2000,3940,8,8
840,63,2,63002,2000,4050,4,4
840,63,2,63002,2000,4090,7,7
840,63,2,63002,2000,4120,2,2
840,63,2,63002,2000,4200,1,1
840,63,2,63002,2000,4230,3,6
840,63,2,63002,2000,4440,5,7
840,63,2,63002,2000,4520,11,12
840,63,2,63002,2000,4610,4,4
840,63,2,63002,2000,4650,4,4
840,63,2,63002,2000,4770,5,6
840,63,2,63002,2000,4880,16,31
840,63,2,63002,2000,4900,15,26
840,63,2,63002,2000,4930,11,30
840,63,2,63002,2000,4950,3,4
840,63,2,63002,2000,4980,11,32
840,63,2,63002,2000,5060,4,4
840,63,2,63002,2000,5110,7,14
840,63,2,63002,2000,5130,6,13
840,63,2,63002,2000,5500,3,5
840,63,2,63002,2000,5870,13,17
840,63,2,63002,2000,5930,25,31
840,63,2,63002,2000,5970,9,10
840,63,2,63002,2000,5980,12,16
840,63,2,63002,2000,6010,2,2
840,63,2,63002,2000,6100,2,2
840,63,2,63002,2000,6110,10,20
840,63,2,63002,2000,6130,6,22
840,63,2,63002,2000,6240,3,4
840,63,2,63002,2000,6310,14,16
840,63,2,63002,2000,6380,1,1
840,63,2,63002,2000,6390,1,1
840,63,2,63002,2000,6480,3,4
840,63,2,63002,2000,6630,1,1
840,63,2,63002,2000,6710,5,7
840,63,2,63002,2000,6730,1,1
840,63,2,63002,2000,6740,3,5
840,63,2,63002,2000,6810,7,9
840,63,2,63002,2000,6830,10,12
840,63,2,63002,2000,6882,4,9
840,63,2,63002,2000,7030,14,17
840,63,2,63002,2000,7040,2,2
840,63,2,63002,2000,7050,1,1
840,63,2,63002,2000,7180,34,55
840,63,2,63002,2000,7290,5,7
840,63,2,63002,2000,7310,5,5
840,63,2,63002,2000,7360,6,8
840,63,2,63002,2000,7510,13,16
840,63,2,63002,2000,7550,2,2
840,63,2,63002,2000,7610,3,3
840,63,2,63002,2000,7660,3,3
840,63,2,63002,2001,510,2,2
840,63,2,63002,2001,580,21,671
840,63,2,63002,2001,650,3,3
840,63,2,63002,2001,690,3,3
840,63,2,63002,2001,800,2,4
840,63,2,63002,2001,1200,2,2
840,63,2,63002,2001,1260,4,5
840,63,2,63002,2001,1330,1,5
840,63,2,63002,2001,1840,4,9
840,63,2,63002,2001,1940,1,4
840,63,2,63002,2001,1960,6,14
840,63,2,63002,2001,1970,2,6
840,63,2,63002,2001,1990,1,1
840,63,2,63002,2001,2000,4,4
840,63,2,63002,2001,2001,5,104
840,63,2,63002,2001,2010,3,5
840,63,2,63002,2001,2110,1,1
840,63,2,63002,2001,2580,6,22
840,63,2,63002,2001,2730,4,5
840,63,2,63002,2001,2860,1,4
840,63,2,63002,2001,2890,7,7
840,63,2,63002,2001,3131,1,4
840,63,2,63002,2001,3160,32,50
840,63,2,63002,2001,3250,1,3
840,63,2,63002,2001,3370,1,1
840,63,2,63002,2001,3390,1,1
840,63,2,63002,2001,3640,3,3
840,63,2,63002,2001,3680,1,1
840,63,2,63002,2001,3870,9,10
840,63,2,63002,2001,3940,8,8
840,63,2,63002,2001,4050,5,5
840,63,2,63002,2001,4060,1,1
840,63,2,63002,2001,4090,11,13
840,63,2,63002,2001,4120,3,3
840,63,2,63002,2001,4160,4,5
840,63,2,63002,2001,4200,3,5
840,63,2,63002,2001,4230,6,11
840,63,2,63002,2001,4280,1,1
840,63,2,63002,2001,4440,4,5
840,63,2,63002,2001,4520,18,23
840,63,2,63002,2001,4610,2,2
840,63,2,63002,2001,4650,5,5
840,63,2,63002,2001,4770,8,9
840,63,2,63002,2001,4880,17,34
840,63,2,63002,2001,4900,12,18
840,63,2,63002,2001,4930,13,80
840,63,2,63002,2001,4950,7,9
840,63,2,63002,2001,4980,13,32
840,63,2,63002,2001,5010,3,3
840,63,2,63002,2001,5060,12,12
840,63,2,63002,2001,5110,14,30
840,63,2,63002,2001,5130,7,37
840,63,2,63002,2001,5190,2,6
840,63,2,63002,2001,5500,2,6
840,63,2,63002,2001,5600,1,1
840,63,2,63002,2001,5870,13,15
840,63,2,63002,2001,5930,25,34
840,63,2,63002,2001,5970,6,6
840,63,2,63002,2001,5980,17,20
840,63,2,63002,2001,6100,3,3
840,63,2,63002,2001,6110,9,25
840,63,2,63002,2001,6130,4,13
840,63,2,63002,2001,6240,4,4
840,63,2,63002,2001,6280,2,3
840,63,2,63002,2001,6310,13,21
840,63,2,63002,2001,6370,3,3
840,63,2,63002,2001,6380,1,1
840,63,2,63002,2001,6390,1,1
840,63,2,63002,2001,6480,4,4
840,63,2,63002,2001,6630,2,2
840,63,2,63002,2001,6710,14,18
840,63,2,63002,2001,6730,5,5
840,63,2,63002,2001,6740,6,8
840,63,2,63002,2001,6770,1,1
840,63,2,63002,2001,6810,5,6
840,63,2,63002,2001,6830,12,14
840,63,2,63002,2001,6882,8,29
840,63,2,63002,2001,7030,20,25
840,63,2,63002,2001,7050,6,6
840,63,2,63002,2001,7180,32,52
840,63,2,63002,2001,7290,6,8
840,63,2,63002,2001,7310,5,6
840,63,2,63002,2001,7360,14,19
840,63,2,63002,2001,7510,17,19
840,63,2,63002,2001,7550,5,6
840,63,2,63002,2001,7610,4,5
840,63,2,63002,2001,7660,2,2
840,63,2,63002,2002,510,7,8
840,63,2,63002,2002,580,28,259
840,63,2,63002,2002,630,1,2
840,63,2,63002,2002,640,1,1
840,63,2,63002,2002,650,6,15
840,63,2,63002,2002,690,3,9
840,63,2,63002,2002,740,1,3
840,63,2,63002,2002,800,1,1
840,63,2,63002,2002,1200,2,2
840,63,2,63002,2002,1260,2,3
840,63,2,63002,2002,1320,1,2
840,63,2,63002,2002,1840,2,18
840,63,2,63002,2002,1860,1,3
840,63,2,63002,2002,1960,3,13
840,63,2,63002,2002,1970,3,22
840,63,2,63002,2002,1990,4,4
840,63,2,63002,2002,2000,1,2
840,63,2,63002,2002,2001,5,9
840,63,2,63002,2002,2010,2,2
840,63,2,63002,2002,2110,2,2
840,63,2,63002,2002,2580,5,10
840,63,2,63002,2002,2730,3,3
840,63,2,63002,2002,2860,1,2
840,63,2,63002,2002,2890,14,14
840,63,2,63002,2002,3131,1,3
840,63,2,63002,2002,3160,34,50
840,63,2,63002,2002,3250,2,3
840,63,2,63002,2002,3370,1,2
840,63,2,63002,2002,3640,3,4
840,63,2,63002,2002,3730,1,1
840,63,2,63002,2002,3870,4,4
840,63,2,63002,2002,3930,1,1
840,63,2,63002,2002,3940,11,11
840,63,2,63002,2002,4050,3,4
840,63,2,63002,2002,4060,1,1
840,63,2,63002,2002,4090,6,8
840,63,2,63002,2002,4120,4,4
840,63,2,63002,2002,4160,6,8
840,63,2,63002,2002,4200,6,8
840,63,2,63002,2002,4230,6,12
840,63,2,63002,2002,4440,7,9
840,63,2,63002,2002,4520,10,11
840,63,2,63002,2002,4610,4,4
840,63,2,63002,2002,4650,8,10
840,63,2,63002,2002,4770,5,7
840,63,2,63002,2002,4880,17,23
840,63,2,63002,2002,4900,12,20
840,63,2,63002,2002,4930,13,30
840,63,2,63002,2002,4950,4,6
840,63,2,63002,2002,4980,8,25
840,63,2,63002,2002,5010,1,1
840,63,2,63002,2002,5060,11,11
840,63,2,63002,2002,5110,14,49
840,63,2,63002,2002,5130,7,30
840,63,2,63002,2002,5290,1,1
840,63,2,63002,2002,5500,2,5
840,63,2,63002,2002,5600,2,3
840,63,2,63002,2002,5810,1,1
840,63,2,63002,2002,5870,17,25
840,63,2,63002,2002,5930,30,40
840,63,2,63002,2002,5970,10,11
840,63,2,63002,2002,5980,19,25
840,63,2,63002,2002,6100,4,4
840,63,2,63002,2002,6110,4,26
840,63,2,63002,2002,6130,7,19
840,63,2,63002,2002,6240,7,7
840,63,2,63002,2002,6280,2,2
840,63,2,63002,2002,6310,11,15
840,63,2,63002,2002,6370,1,2
840,63,2,63002,2002,6480,2,2
840,63,2,63002,2002,6630,3,3
840,63,2,63002,2002,6710,12,14
840,63,2,63002,2002,6730,1,1
840,63,2,63002,2002,6740,6,8
840,63,2,63002,2002,6810,6,7
840,63,2,63002,2002,6830,9,10
840,63,2,63002,2002,6840,1,1
840,63,2,63002,2002,6882,9,25
840,63,2,63002,2002,7030,20,24
840,63,2,63002,2002,7040,3,3
840,63,2,63002,2002,7050,5,5
840,63,2,63002,2002,7180,27,47
840,63,2,63002,2002,7290,8,10
840,63,2,63002,2002,7310,5,5
840,63,2,63002,2002,7360,14,20
840,63,2,63002,2002,7510,14,20
840,63,2,63002,2002,7610,5,6
840,63,2,63002,2002,7660,3,4
840,63,2,63002,2003,510,1,1
840,63,2,63002,2003,580,28,178
840,63,2,63002,2003,630,1,1
840,63,2,63002,2003,650,6,14
840,63,2,63002,2003,670,1,1
840,63,2,63002,2003,690,4,8
840,63,2,63002,2003,700,1,1
840,63,2,63002,2003,1200,2,3
840,63,2,63002,2003,1260,1,5
840,63,2,63002,2003,1320,1,1
840,63,2,63002,2003,1840,3,5
840,63,2,63002,2003,1960,4,5
840,63,2,63002,2003,1970,3,5
840,63,2,63002,2003,1990,3,3
840,63,2,63002,2003,2000,2,2
840,63,2,63002,2003,2001,6,46
840,63,2,63002,2003,2010,2,3
840,63,2,63002,2003,2110,1,1
840,63,2,63002,2003,2580,3,6
840,63,2,63002,2003,2730,3,3
840,63,2,63002,2003,2860,1,3
840,63,2,63002,2003,2890,3,3
840,63,2,63002,2003,3160,38,47
840,63,2,63002,2003,3250,7,11
840,63,2,63002,2003,3370,2,4
840,63,2,63002,2003,3390,2,2
840,63,2,63002,2003,3520,1,1
840,63,2,63002,2003,3640,2,2
840,63,2,63002,2003,3680,1,1
840,63,2,63002,2003,3870,5,5
840,63,2,63002,2003,3940,5,5
840,63,2,63002,2003,4050,3,3
840,63,2,63002,2003,4090,9,10
840,63,2,63002,2003,4120,4,4
840,63,2,63002,2003,4160,2,5
840,63,2,63002,2003,4200,1,1
840,63,2,63002,2003,4230,3,4
840,63,2,63002,2003,4280,1,1
840,63,2,63002,2003,4440,4,5
840,63,2,63002,2003,4520,11,11
840,63,2,63002,2003,4610,4,4
840,63,2,63002,2003,4650,9,9
840,63,2,63002,2003,4770,5,8
840,63,2,63002,2003,4880,15,49
840,63,2,63002,2003,4900,23,45
840,63,2,63002,2003,4930,16,81
840,63,2,63002,2003,4950,3,3
840,63,2,63002,2003,4980,7,29
840,63,2,63002,2003,5010,1,3
840,63,2,63002,2003,5060,9,10
840,63,2,63002,2003,5110,15,63
840,63,2,63002,2003,5130,10,23
840,63,2,63002,2003,5500,2,3
840,63,2,63002,2003,5600,3,3
840,63,2,63002,2003,5870,8,11
840,63,2,63002,2003,5930,26,31
840,63,2,63002,2003,5970,10,10
840,63,2,63002,2003,5980,19,26
840,63,2,63002,2003,6100,5,5
840,63,2,63002,2003,6110,9,26
840,63,2,63002,2003,6130,8,21
840,63,2,63002,2003,6240,6,7
840,63,2,63002,2003,6280,1,1
840,63,2,63002,2003,6310,9,9
840,63,2,63002,2003,6370,2,2
840,63,2,63002,2003,6480,3,6
840,63,2,63002,2003,6710,8,10
840,63,2,63002,2003,6730,1,1
840,63,2,63002,2003,6740,6,6
840,63,2,63002,2003,6810,11,12
840,63,2,63002,2003,6830,11,11
840,63,2,63002,2003,6882,10,22
840,63,2,63002,2003,7030,22,33
840,63,2,63002,2003,7040,6,8
840,63,2,63002,2003,7050,1,1
840,63,2,63002,2003,7180,29,46
840,63,2,63002,2003,7290,8,13
840,63,2,63002,2003,7310,7,11
840,63,2,63002,2003,7360,11,14
840,63,2,63002,2003,7510,13,16
840,63,2,63002,2003,7550,1,1
840,63,2,63002,2003,7610,9,9
840,63,2,63002,2003,7660,2,2
840,63,2,63002,2004,510,4,12
840,63,2,63002,2004,540,1,1
840,63,2,63002,2004,580,37,249
840,63,2,63002,2004,650,2,2
840,63,2,63002,2004,690,4,9
840,63,2,63002,2004,740,1,6
840,63,2,63002,2004,1200,1,1
840,63,2,63002,2004,1260,1,4
840,63,2,63002,2004,1840,1,17
840,63,2,63002,2004,1940,1,5
840,63,2,63002,2004,1960,4,15
840,63,2,63002,2004,1970,2,8
840,63,2,63002,2004,1990,4,6
840,63,2,63002,2004,2000,2,7
840,63,2,63002,2004,2001,1,7
840,63,2,63002,2004,2010,3,4
840,63,2,63002,2004,2110,1,1
840,63,2,63002,2004,2580,3,5
840,63,2,63002,2004,2730,7,14
840,63,2,63002,2004,2860,1,1
840,63,2,63002,2004,2890,8,9
840,63,2,63002,2004,3131,1,1
840,63,2,63002,2004,3160,34,54
840,63,2,63002,2004,3250,2,3
840,63,2,63002,2004,3370,1,1
840,63,2,63002,2004,3390,1,1
840,63,2,63002,2004,3640,3,3
840,63,2,63002,2004,3750,1,1
840,63,2,63002,2004,3870,7,8
840,63,2,63002,2004,3930,2,2
840,63,2,63002,2004,3940,8,9
840,63,2,63002,2004,4050,2,2
840,63,2,63002,2004,4060,1,1
840,63,2,63002,2004,4090,9,9
840,63,2,63002,2004,4120,7,7
840,63,2,63002,2004,4160,4,5
840,63,2,63002,2004,4200,2,4
840,63,2,63002,2004,4230,9,11
840,63,2,63002,2004,4440,7,9
840,63,2,63002,2004,4520,4,6
840,63,2,63002,2004,4610,4,4
840,63,2,63002,2004,4650,3,4
840,63,2,63002,2004,4770,5,6
840,63,2,63002,2004,4880,18,34
840,63,2,63002,2004,4900,11,13
840,63,2,63002,2004,4930,14,76
840,63,2,63002,2004,4950,6,11
840,63,2,63002,2004,4980,11,32
840,63,2,63002,2004,5010,2,2
840,63,2,63002,2004,5060,6,6
840,63,2,63002,2004,5110,13,150
840,63,2,63002,2004,5130,8,28
840,63,2,63002,2004,5190,1,1
840,63,2,63002,2004,5500,3,8
840,63,2,63002,2004,5870,18,22
840,63,2,63002,2004,5930,27,38
840,63,2,63002,2004,5970,9,10
840,63,2,63002,2004,5980,12,18
840,63,2,63002,2004,6010,1,1
840,63,2,63002,2004,6100,2,2
840,63,2,63002,2004,6110,10,36
840,63,2,63002,2004,6130,8,44
840,63,2,63002,2004,6240,5,6
840,63,2,63002,2004,6280,1,1
840,63,2,63002,2004,6310,8,10
840,63,2,63002,2004,6480,3,4
840,63,2,63002,2004,6630,1,1
840,63,2,63002,2004,6710,9,11
840,63,2,63002,2004,6740,2,2
840,63,2,63002,2004,6810,9,14
840,63,2,63002,2004,6830,10,11
840,63,2,63002,2004,6840,1,1
840,63,2,63002,2004,6882,6,13
840,63,2,63002,2004,7030,22,31
840,63,2,63002,2004,7040,1,1
840,63,2,63002,2004,7050,7,7
840,63,2,63002,2004,7180,37,59
840,63,2,63002,2004,7290,3,6
840,63,2,63002,2004,7310,3,3
840,63,2,63002,2004,7360,15,21
840,63,2,63002,2004,7510,10,10
840,63,2,63002,2004,7550,1,1
840,63,2,63002,2004,7610,3,3
840,63,2,63002,2004,7660,4,5
840,63,2,63002,2005,510,3,4
840,63,2,63002,2005,540,1,1
840,63,2,63002,2005,580,31,197
840,63,2,63002,2005,650,8,20
840,63,2,63002,2005,690,6,11
840,63,2,63002,2005,740,2,3
840,63,2,63002,2005,1200,1,1
840,63,2,63002,2005,1260,2,3
840,63,2,63002,2005,1840,4,11
840,63,2,63002,2005,1940,1,1
840,63,2,63002,2005,1960,3,12
840,63,2,63002,2005,1970,1,2
840,63,2,63002,2005,1990,2,2
840,63,2,63002,2005,2000,2,2
840,63,2,63002,2005,2001,7,48
840,63,2,63002,2005,2010,3,3
840,63,2,63002,2005,2110,2,2
840,63,2,63002,2005,2580,3,15
840,63,2,63002,2005,2730,4,5
840,63,2,63002,2005,2860,1,1
840,63,2,63002,2005,2890,5,6
840,63,2,63002,2005,3131,1,1
840,63,2,63002,2005,3160,33,54
840,63,2,63002,2005,3250,7,12
840,63,2,63002,2005,3370,1,1
840,63,2,63002,2005,3390,1,1
840,63,2,63002,2005,3640,3,3
